Architecture,Layer
mixer_b16_224,blocks.11.mlp_channels.act
mixer_b16_224,norm
resmlp_12_224,blocks.0.norm1
resmlp_12_224,blocks.0.norm2
resmlp_12_224,blocks.0.mlp_channels.act
resmlp_12_224,blocks.1.norm1
resmlp_12_224,blocks.1.norm2
resmlp_12_224,blocks.1.mlp_channels.act
resmlp_12_224,blocks.2.norm1
resmlp_12_224,blocks.2.norm2
resmlp_12_224,blocks.2.mlp_channels.act
resmlp_12_224,blocks.3.norm1
resmlp_12_224,blocks.3.norm2
resmlp_12_224,blocks.3.mlp_channels.act
resmlp_12_224,blocks.4.norm1
resmlp_12_224,blocks.4.norm2
resmlp_12_224,blocks.4.mlp_channels.act
resmlp_12_224,blocks.5.norm1
resmlp_12_224,blocks.5.norm2
resmlp_12_224,blocks.5.mlp_channels.act
resmlp_12_224,blocks.6.norm1
resmlp_12_224,blocks.6.norm2
resmlp_12_224,blocks.6.mlp_channels.act
resmlp_12_224,blocks.7.norm1
resmlp_12_224,blocks.7.norm2
resmlp_12_224,blocks.7.mlp_channels.act
resmlp_12_224,blocks.8.norm1
resmlp_12_224,blocks.8.norm2
resmlp_12_224,blocks.8.mlp_channels.act
resmlp_12_224,blocks.9.norm1
resmlp_12_224,blocks.9.norm2
resmlp_12_224,blocks.9.mlp_channels.act
resmlp_12_224,blocks.10.norm1
resmlp_12_224,blocks.10.norm2
resmlp_12_224,blocks.10.mlp_channels.act
resmlp_12_224,blocks.11.norm1
resmlp_12_224,blocks.11.norm2
resmlp_12_224,blocks.11.mlp_channels.act
resmlp_12_224,norm
dla34,base_layer.2
dla34,level0.2
dla34,level1.2
dla34,level2.tree1.relu
dla34,level2.tree2.relu
dla34,level2.root.relu
dla34,level5.tree1.relu
dla34,level5.tree2.relu
dla34,level5.root.relu
dla34,level3.tree1.tree1.relu
dla34,level3.tree1.tree2.relu
dla34,level3.tree1.root.relu
dla34,level3.tree2.tree1.relu
dla34,level3.tree2.tree2.relu
dla34,level3.tree2.root.relu
dla34,level4.tree1.tree1.relu
dla34,level4.tree1.tree2.relu
dla34,level4.tree1.root.relu
dla34,level4.tree2.tree1.relu
dla34,level4.tree2.tree2.relu
dla34,level4.tree2.root.relu
